DATE,UNDCONTSA
2003-08-01,1102
2003-09-01,1121
2003-10-01,1135
2003-11-01,1158
2003-12-01,1183
2004-01-01,1191
2004-02-01,1197
2004-03-01,1219
2004-04-01,1222
2004-05-01,1233
2004-06-01,1229
2004-07-01,1247
2004-08-01,1238
2004-09-01,1247
2004-10-01,1264
2004-11-01,1268
2004-12-01,1280
2005-01-01,1302
2005-02-01,1322
2005-03-01,1311
2005-04-01,1324
2005-05-01,1322
2005-06-01,1329
2005-07-01,1338
2005-08-01,1356
2005-09-01,1377
2005-10-01,1376
2005-11-01,1395
2005-12-01,1405
2006-01-01,1424
2006-02-01,1423
2006-03-01,1423
2006-04-01,1401
2006-05-01,1409
2006-06-01,1383
2006-07-01,1363
2006-08-01,1339
2006-09-01,1317
2006-10-01,1283
2006-11-01,1265
2006-12-01,1247
2007-01-01,1217
2007-02-01,1206
2007-03-01,1192
2007-04-01,1181
2007-05-01,1164
2007-06-01,1161
2007-07-01,1144
2007-08-01,1123
2007-09-01,1108
2007-10-01,1096
2007-11-01,1080
2007-12-01,1059
2008-01-01,1041
2008-02-01,1025
2008-03-01,1014
2008-04-01,1009
2008-05-01,991
2008-06-01,975
2008-07-01,955
2008-08-01,936
2008-09-01,904
2008-10-01,876
2008-11-01,842
2008-12-01,806
2009-01-01,783
2009-02-01,756
2009-03-01,717
2009-04-01,677
2009-05-01,650
2009-06-01,627
2009-07-01,611
2009-08-01,588
2009-09-01,576
2009-10-01,554
2009-11-01,532
2009-12-01,517
2010-01-01,501
2010-02-01,493
2010-03-01,492
2010-04-01,488
2010-05-01,476
2010-06-01,447
2010-07-01,443
2010-08-01,444
2010-09-01,439
2010-10-01,436
2010-11-01,431
2010-12-01,427
2011-01-01,431
2011-02-01,424
2011-03-01,420
2011-04-01,417
2011-05-01,415
2011-06-01,416
2011-07-01,417
2011-08-01,414
2011-09-01,417
2011-10-01,422
2011-11-01,433
2011-12-01,434
2012-01-01,441
2012-02-01,450
2012-03-01,458
2012-04-01,463
2012-05-01,474
2012-06-01,486
2012-07-01,490
2012-08-01,495
2012-09-01,511
2012-10-01,520
2012-11-01,534
2012-12-01,551
2013-01-01,559.0
2013-02-01,581.0
2013-03-01,596.0
2013-04-01,606.0
2013-05-01,620
2013-06-01,629
2013-07-01,640.0
2013-08-01,654.0
2013-09-01,661
2013-10-01,670.0
2013-11-01,687.0
2013-12-01,707.0
2014-01-01,713.0
2014-02-01,714.0
2014-03-01,726.0
2014-04-01,743
2014-05-01,754.0
2014-06-01,771.0
2014-07-01,790.0
2014-08-01,793.0
2014-09-01,797.0
2014-10-01,806.0
2014-11-01,814.0
2014-12-01,826.0
2015-01-01,830.0
2015-02-01,830.0
2015-03-01,843.0
2015-04-01,868.0
2015-05-01,878.0
2015-06-01,896.0
2015-07-01,908.0
2015-08-01,921.0
2015-09-01,939.0
2015-10-01,943.0
2015-11-01,962.0
2015-12-01,970.0
2016-01-01,968.0
2016-02-01,982.0
2016-03-01,987.0
2016-04-01,998.0
2016-05-01,1010.0
2016-06-01,1016.0
2016-07-01,1033.0
2016-08-01,1038.0
2016-09-01,1038.0
2016-10-01,1053.0
2016-11-01,1042.0
2016-12-01,1057.0
2017-01-01,1063.0
2017-02-01,1070.0
2017-03-01,1071.0
2017-04-01,1075.0
2017-05-01,1071.0
2017-06-01,1073.0
2017-07-01,1075.0
2017-08-01,1083.0
2017-09-01,1093.0
2017-10-01,1101.0
2017-11-01,1107.0
2017-12-01,1100.0
2018-01-01,1105.0
2018-02-01,1109.0
2018-03-01,1121.0
2018-04-01,1124.0
2018-05-01,1131.0
2018-06-01,1126.0
2018-07-01,1127.0
2018-08-01,1129.0
2018-09-01,1135.0
2018-10-01,1141.0
2018-11-01,1144.0
2018-12-01,1148.0
2019-01-01,1152.0
2019-02-01,1140.0
2019-03-01,1125.0
2019-04-01,1123.0
2019-05-01,1132.0
2019-06-01,1142.0
2019-07-01,1146.0
2019-08-01,1149.0
2019-09-01,1161.0
2019-10-01,1160.0
2019-11-01,1165.0
2019-12-01,1177.0
2020-01-01,1195.0
2020-02-01,1213.0
2020-03-01,1215.0
2020-04-01,1193.0
2020-05-01,1180.0
2020-06-01,1183.0
2020-07-01,1201.0
2020-08-01,1213.0
2020-09-01,1218.0
2020-10-01,1228.0
2020-11-01,1248.0
2020-12-01,1262.0
2021-01-01,1282.0
2021-02-01,1286.0
2021-03-01,1308.0
2021-04-01,1320.0
2021-05-01,1338.0
2021-06-01,1372.0
2021-07-01,1387.0
2021-08-01,1412.0
2021-09-01,1437.0
2021-10-01,1464.0
2021-11-01,1493.0
2021-12-01,1526.0
2022-01-01,1553.0
2022-02-01,1581.0
2022-03-01,1631.0
2022-04-01,1669.0
2022-05-01,1680.0
2022-06-01,1688.0
2022-07-01,1683.0
2022-08-01,1702.0
2022-09-01,1698.0
2022-10-01,1710.0
2022-11-01,1695.0
2022-12-01,1696.0
2023-01-01,1695.0
2023-02-01,1686.0
2023-03-01,1680.0
2023-04-01,1680.0
2023-05-01,1687.0
2023-06-01,1692.0
2023-07-01,1697.0
2023-08-01,1688.0
